Brazil
No.,Pos.,Player,Date of birth (age),Caps,Club
13,GK,Dany Verlinden,15 August 1963 (aged 34),1,Club Brugge
14,MF,Enzo Scifo,19 February 1966 (aged 32),84,Anderlecht
15,MF,Philippe Clement,22 March 1974 (aged 24),8,Racing Genk
16,DF,Glen De Boeck,22 August 1971 (aged 26),12,Anderlecht
17,DF,Mike Verstraeten,12 August 1967 (aged 30),6,Germinal Ekeren
18,FW,Gert Verheyen,20 September 1970 (aged 27),17,Club Brugge
19,DF,Eric Van Meir,28 February 1968 (aged 30),14,Lierse
20,FW,Émile Mpenza,4 July 1978 (aged 19),13,Standard Liège
21,MF,Danny Boffin,10 July 1965 (aged 32),40,Metz
22,DF,Eric Deflandre,2 August 1973 (aged 24),12,Club Brugge
Mexico
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Jorge Campos,15 October 1966 (aged 31),106,Chicago Fire
2,DF,Claudio Suárez,17 December 1968 (aged 29),121,Guadalajara
3,DF,Joel Sánchez,17 August 1974 (aged 23),20,Guadalajara
4,MF,Germán Villa,2 April 1973 (aged 25),36,América
5,DF,Duilio Davino,21 March 1976 (aged 22),48,América
6,MF,Marcelino Bernal,27 May 1962 (aged 36),72,Monterrey
7,MF,Ramón Ramírez,5 December 1969 (aged 28),92,Guadalajara
8,MF,Alberto García Aspe (Captain),11 May 1967 (aged 31),82,América
9,FW,Ricardo Peláez,14 March 1963 (aged 35),41,América
10,FW,Luis García,1 June 1969 (aged 29),89,Atlante
11,FW,Cuauhtémoc Blanco,17 January 1973 (aged 25),42,Necaxa
12,GK,Oswaldo Sánchez,21 September 1973 (aged 24),9,América
13,MF,Pável Pardo,26 July 1976 (aged 21),43,Atlas
14,MF,Raúl Lara,28 February 1973 (aged 25),24,América
15,FW,Luis Hernández,22 December 1968 (aged 29),46,Necaxa
16,DF,Isaac Terrazas,17 April 1975 (aged 23),7,América
17,FW,Francisco Palencia,28 April 1973 (aged 25),27,Cruz Azul
18,DF,Salvador Carmona,22 August 1975 (aged 22),16,Toluca
19,MF,Braulio Luna,8 September 1974 (aged 23),15,UNAM Pumas
20,MF,Jaime Ordiales,23 December 1962 (aged 35),21,Toluca
21,MF,Jesús Arellano,8 May 1973 (aged 25),7,Guadalajara
22,GK,Óscar Pérez,1 February 1973 (aged 25),8,Cruz Azul
Netherlands
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Edwin van der Sar,29 October 1970 (aged 27),25,Ajax
2,DF,Michael Reiziger,3 May 1973 (aged 25),26,Barcelona
3,DF,Jaap Stam,17 July 1972 (aged 25),14,PSV
4,DF,Frank de Boer (Captain),15 May 1970 (aged 28),55,Ajax
5,DF,Arthur Numan,14 December 1969 (aged 28),29,PSV
6,MF,Wim Jonk,12 October 1966 (aged 31),42,PSV
7,MF,Ronald de Boer,15 May 1970 (aged 28),41,Ajax
8,FW,Dennis Bergkamp,10 May 1969 (aged 29),57,Arsenal
9,FW,Patrick Kluivert,1 July 1976 (aged 21),19,Milan
10,MF,Clarence Seedorf,1 April 1976 (aged 22),31,Real Madrid
11,MF,Phillip Cocu,29 October 1970 (aged 27),20,PSV
12,MF,Boudewijn Zenden,15 August 1976 (aged 21),6,PSV
13,DF,André Ooijer,11 July 1974 (aged 23),0,PSV
14,MF,Marc Overmars,29 March 1973 (aged 25),40,Arsenal
15,DF,Winston Bogarde,22 October 1970 (aged 27),14,Barcelona
16,MF,Edgar Davids,13 March 1973 (aged 25),12,Juventus
17,FW,Pierre van Hooijdonk,29 November 1969 (aged 28),12,Nottingham Forest
18,GK,Ed de Goey,20 December 1966 (aged 31),31,Chelsea
19,MF,Giovanni van Bronckhorst,5 February 1975 (aged 23),8,Feyenoord
20,MF,Aron Winter,1 March 1967 (aged 31),72,Inter Milan
21,FW,Jimmy Floyd Hasselbaink,27 March 1972 (aged 26),3,Leeds United
22,GK,Ruud Hesp,31 October 1965 (aged 32),0,Barcelona
South Korea
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Kim Byung-ji,8 April 1970 (aged 28),34,Ulsan Hyundai Horangi
2,MF,Choi Sung-yong,25 December 1975 (aged 22),27,Sangmu
3,DF,Lee Lim-saeng,18 November 1971 (aged 26),17,Bucheon SK
4,DF,Choi Young-il (Captain),25 April 1966 (aged 32),54,Busan Daewoo Royals
5,DF,Lee Min-sung,23 June 1973 (aged 24),29,Busan Daewoo Royals
6,DF,Yoo Sang-chul,18 October 1971 (aged 26),57,Ulsan Hyundai Horangi
7,MF,Kim Do-keun,2 March 1972 (aged 26),13,Jeonnam Dragons
8,MF,Noh Jung-yoon,28 March 1971 (aged 27),36,NAC Breda
9,FW,Kim Do-hoon,21 July 1970 (aged 27),37,Vissel Kobe
10,FW,Choi Yong-soo,10 September 1973 (aged 24),33,Sangmu
11,FW,Seo Jung-won,17 December 1970 (aged 27),73,Strasbourg
12,DF,Lee Sang-hun,11 October 1975 (aged 22),13,Anyang LG Cheetahs
13,DF,Kim Tae-young,8 November 1970 (aged 27),35,Jeonnam Dragons
14,MF,Ko Jong-soo,30 October 1978 (aged 19),22,Suwon Samsung Bluewings
15,MF,Lee Sang-yoon,10 April 1969 (aged 29),28,Cheonan Ilhwa Chunma
16,DF,Jang Hyung-seok,7 July 1972 (aged 25),7,Ulsan Hyundai Horangi
17,MF,Ha Seok-ju,20 February 1968 (aged 30),82,Cerezo Osaka
18,FW,Hwang Sun-hong,14 July 1968 (aged 29),78,Pohang Steelers
19,DF,Jang Dae-il,9 March 1975 (aged 23),14,Cheonan Ilhwa Chunma
20,DF,Hong Myung-bo,12 February 1969 (aged 29),94,Bellmare Hiratsuka
21,FW,Lee Dong-gook,29 April 1979 (aged 19),0,Pohang Steelers
22,GK,Seo Dong-myung,4 May 1974 (aged 24),21,Sangmu
Germany
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Andreas Köpke,12 March 1962 (aged 36),54,Marseille
2,DF,Christian Wörns,10 May 1972 (aged 26),17,Bayer Leverkusen
3,DF,Jörg Heinrich,6 December 1969 (aged 28),15,Borussia Dortmund
4,DF,Jürgen Kohler,6 October 1965 (aged 32),101,Borussia Dortmund
5,DF,Thomas Helmer,21 April 1965 (aged 33),66,Bayern Munich
6,DF,Olaf Thon,1 May 1966 (aged 32),48,Schalke 04
7,MF,Andreas Möller,2 September 1967 (aged 30),79,Borussia Dortmund
8,DF,Lothar Matthäus,21 March 1961 (aged 37),125,Bayern Munich
9,FW,Ulf Kirsten,4 December 1965 (aged 32),32*,Bayer Leverkusen
10,MF,Thomas Häßler,30 May 1966 (aged 32),93,Karlsruher SC
11,FW,Olaf Marschall,19 March 1966 (aged 32),7*,1. FC Kaiserslautern
12,GK,Oliver Kahn,15 June 1969 (aged 28),10,Bayern Munich
13,MF,Jens Jeremies,5 March 1974 (aged 24),5,1860 Munich
14,DF,Markus Babbel,8 September 1972 (aged 25),30,Bayern Munich
15,MF,Steffen Freund,19 January 1970 (aged 28),21,Borussia Dortmund
16,MF,Dietmar Hamann,27 August 1973 (aged 24),7,Bayern Munich
17,DF,Christian Ziege,1 February 1972 (aged 26),37,Milan
18,FW,Jürgen Klinsmann (Captain),30 July 1964 (aged 33),103,Tottenham Hotspur
19,DF,Stefan Reuter,16 October 1966 (aged 31),68,Borussia Dortmund
20,FW,Oliver Bierhoff,1 May 1968 (aged 30),26,Udinese
21,DF,Michael Tarnat,27 October 1969 (aged 28),12,Bayern Munich
22,GK,Jens Lehmann,10 November 1969 (aged 28),2,Schalke 04
Iran
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ahmad Reza Abedzadeh (Captain),25 May 1966 (aged 32),66,Persepolis
2,MF,Mehdi Mahdavikia,24 July 1977 (aged 20),24,Persepolis
3,DF,Naeim Saadavi,16 June 1969 (aged 28),8,Persepolis
4,DF,Mohammad Khakpour,20 February 1969 (aged 29),37,Bahman
5,DF,Afshin Peyrovani,6 February 1970 (aged 28),37,Persepolis
6,MF,Karim Bagheri,20 February 1974 (aged 24),44,Arminia Bielefeld
7,MF,Alireza Mansourian,12 December 1971 (aged 26),33,Esteghlal
8,MF,Sirous Dinmohammadi,2 July 1970 (aged 27),16,Shahrdari Tabriz
9,MF,Hamid Estili,1 April 1967 (aged 31),44,Bahman
10,FW,Ali Daei,21 March 1969 (aged 29),50,Arminia Bielefeld
11,FW,Khodadad Azizi,22 June 1971 (aged 26),27,1. FC Köln
12,GK,Nima Nakisa,1 May 1975 (aged 23),6,Persepolis
13,FW,Ali Latifi,20 February 1976 (aged 22),0,Bahman
14,DF,Nader Mohammadkhani,23 August 1963 (aged 34),16,Polyacryl
15,DF,Ali Akbar Ostad-Asadi,17 September 1965 (aged 32),29,Zob Ahan
16,DF,Reza Shahroudi,21 February 1972 (aged 26),34,Persepolis
17,DF,Javad Zarincheh,23 July 1966 (aged 31),55,Esteghlal
18,MF,Sattar Hamedani,6 June 1974 (aged 24),3,Bahman
19,FW,Behnam Seraj,19 June 1971 (aged 26),0,Sanat Naft
20,DF,Mehdi Pashazadeh,27 December 1973 (aged 24),4,Esteghlal
21,MF,Mehrdad Minavand,30 November 1975 (aged 22),23,Persepolis
22,GK,Parviz Broumand,11 September 1972 (aged 25),0,Esteghlal
United States
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Brad Friedel,18 May 1971 (aged 27),56,Liverpool
2,DF,Frankie Hejduk,5 August 1974 (aged 23),11,Tampa Bay Mutiny
3,DF,Eddie Pope,24 December 1973 (aged 24),23,D.C. United
4,DF,Mike Burns,14 September 1970 (aged 27),73,New England Revolution
5,MF,Thomas Dooley (Captain),5 December 1961 (aged 36),77,Columbus Crew
6,DF,David Regis,2 December 1968 (aged 29),2,Karlsruher SC
7,FW,Roy Wegerle,19 March 1964 (aged 34),39,Tampa Bay Mutiny
8,MF,Earnie Stewart,28 March 1969 (aged 29),47,NAC Breda
9,FW,Joe-Max Moore,23 February 1971 (aged 27),68,New England Revolution
10,MF,Tab Ramos,21 September 1966 (aged 31),80,MetroStars
11,FW,Eric Wynalda,9 June 1969 (aged 29),100,San Jose Clash
12,DF,Jeff Agoos,2 May 1968 (aged 30),87,D.C. United
13,MF,Cobi Jones,16 June 1970 (aged 27),107,LA Galaxy
14,MF,Predrag Radosavljević,24 June 1963 (aged 34),24,Kansas City Wizards
15,MF,Chad Deering,2 September 1970 (aged 27),10,VfL Wolfsburg
16,GK,Juergen Sommer,27 February 1969 (aged 29),8,Columbus Crew
17,DF,Marcelo Balboa,8 August 1967 (aged 30),126,Colorado Rapids
18,GK,Kasey Keller,29 November 1969 (aged 28),33,Leicester City
19,MF,Brian Maisonneuve,28 June 1973 (aged 24),7,Columbus Crew
20,FW,Brian McBride,19 June 1972 (aged 25),21,Columbus Crew
21,MF,Claudio Reyna,20 July 1973 (aged 24),59,VfL Wolfsburg
22,DF,Alexi Lalas,1 June 1970 (aged 28),98,MetroStars
Yugoslavia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ivica Kralj,26 March 1973 (aged 25),15,Partizan
2,DF,Zoran Mirković,21 September 1971 (aged 26),28,Atalanta
3,DF,Goran Đorović,11 November 1971 (aged 26),26,Celta Vigo
4,MF,Slaviša Jokanović,16 August 1968 (aged 29),33,Tenerife
5,DF,Miroslav Đukić,19 February 1966 (aged 32),23,Valencia
6,DF,Branko Brnović,8 August 1967 (aged 30),22,Espanyol
7,MF,Vladimir Jugović,30 August 1969 (aged 28),24,Lazio
8,FW,Dejan Savićević,15 September 1966 (aged 31),49,Milan
9,FW,Predrag Mijatović,19 January 1969 (aged 29),28,Real Madrid
10,MF,Dragan Stojković (Captain),3 March 1965 (aged 33),64,Nagoya Grampus Eight
11,DF,Siniša Mihajlović,20 February 1969 (aged 29),30,Sampdoria
12,GK,Dragoje Leković,21 November 1967 (aged 30),13,Sporting Gijón
13,DF,Slobodan Komljenović,2 January 1971 (aged 27),8,MSV Duisburg
14,DF,Niša Saveljić,23 February 1970 (aged 28),20,Bordeaux
15,MF,Ljubinko Drulović,11 September 1968 (aged 29),16,Porto
16,MF,Željko Petrović,13 November 1965 (aged 32),12,Urawa Red Diamonds
17,FW,Savo Milošević,2 September 1973 (aged 24),28,Aston Villa
18,MF,Dejan Govedarica,14 February 1972 (aged 26),20,Lecce
19,MF,Miroslav Stević,7 January 1970 (aged 28),5,1860 Munich
20,MF,Dejan Stanković,11 September 1978 (aged 19),3,Red Star Belgrade
21,FW,Perica Ognjenović,24 February 1977 (aged 21),5,Red Star Belgrade
22,FW,Darko Kovačević,18 November 1973 (aged 24),19,Real Sociedad
Colombia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Óscar Córdoba,3 February 1970 (aged 28),NA,Boca Juniors
2,DF,Iván Córdoba,11 August 1976 (aged 21),NA,San Lorenzo
3,DF,Ever Palacios,18 January 1969 (aged 29),NA,Deportivo Cali
4,DF,José Santa,12 November 1970 (aged 27),NA,Atlético Nacional
5,DF,Jorge Bermúdez,18 June 1971 (aged 26),NA,Boca Juniors
6,MF,Mauricio Serna,22 January 1968 (aged 30),NA,Boca Juniors
7,FW,Antony de Ávila,21 December 1962 (aged 35),NA,Barcelona
8,MF,John Harold Lozano,30 March 1972 (aged 26),NA,Real Valladolid
9,FW,Adolfo Valencia,6 February 1968 (aged 30),NA,Independiente Medellín
10,MF,Carlos Valderrama (Captain),2 September 1961 (aged 36),NA,Miami Fusion
11,FW,Faustino Asprilla,10 November 1969 (aged 28),NA,Parma
12,GK,Miguel Calero,14 April 1971 (aged 27),NA,Atlético Nacional
13,DF,Wilmer Cabrera,15 September 1967 (aged 30),NA,Millonarios
14,MF,Jorge Bolaño,28 April 1977 (aged 21),NA,Atlético Junior
15,FW,Víctor Aristizábal,9 December 1971 (aged 26),NA,São Paulo
16,DF,Luis Antonio Moreno,25 December 1970 (aged 27),NA,Deportes Tolima
17,MF,Andrés Estrada,12 November 1967 (aged 30),NA,Deportivo Cali
18,MF,John Wilmar Pérez,2 February 1970 (aged 28),NA,Deportivo Cali
19,MF,Freddy Rincón,14 August 1966 (aged 31),NA,Corinthians
20,FW,Hamilton Ricard,12 January 1974 (aged 24),NA,Middlesbrough
21,FW,Léider Preciado,26 February 1977 (aged 21),NA,Santa Fe
22,GK,Farid Mondragón,21 June 1971 (aged 26),NA,Independiente
England
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,David Seaman,19 September 1963 (aged 34),40,Arsenal
2,DF,Sol Campbell,18 September 1974 (aged 23),16,Tottenham Hotspur
3,DF,Graeme Le Saux,17 October 1968 (aged 29),25,Chelsea
4,MF,Paul Ince,21 October 1967 (aged 30),39,Liverpool
5,DF,Tony Adams,10 October 1966 (aged 31),51,Arsenal
6,DF,Gareth Southgate,3 September 1970 (aged 27),25,Aston Villa
7,MF,David Beckham,2 May 1975 (aged 23),15,Manchester United
8,MF,David Batty,2 December 1968 (aged 29),31,Newcastle United
9,FW,Alan Shearer (Captain),13 August 1970 (aged 27),39,Newcastle United
10,FW,Teddy Sheringham,2 April 1966 (aged 32),33,Manchester United
11,MF,Steve McManaman,11 February 1972 (aged 26),21,Liverpool
12,DF,Gary Neville,18 February 1975 (aged 23),27,Manchester United
13,GK,Nigel Martyn,11 August 1966 (aged 31),7,Leeds United
14,MF,Darren Anderton,3 March 1972 (aged 26),18,Tottenham Hotspur
15,MF,Paul Merson,20 March 1968 (aged 30),18,Middlesbrough
16,MF,Paul Scholes,16 November 1974 (aged 23),7,Manchester United
17,MF,Rob Lee,1 February 1966 (aged 32),17,Newcastle United
18,DF,Martin Keown,24 July 1966 (aged 31),18,Arsenal
19,FW,Les Ferdinand,18 December 1966 (aged 31),17,Tottenham Hotspur
20,FW,Michael Owen,14 December 1979 (aged 18),5,Liverpool
21,DF,Rio Ferdinand,7 November 1978 (aged 19),3,West Ham United
22,GK,Tim Flowers,3 February 1967 (aged 31),11,Blackburn Rovers
Romania
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Dumitru Stângaciu,9 August 1964 (aged 33),5,Kocaelispor
2,DF,Dan Petrescu,22 December 1967 (aged 30),68,Chelsea
3,DF,Cristian Dulca,25 September 1972 (aged 25),5,Rapid București
4,DF,Anton Doboş,13 October 1965 (aged 32),21,AEK Athens
5,MF,Constantin Gâlcă,8 March 1972 (aged 26),32,Espanyol
6,DF,Gheorghe Popescu,9 October 1967 (aged 30),78,Galatasaray
7,FW,Marius Lăcătuş,5 April 1964 (aged 34),81,Steaua București
8,MF,Dorinel Munteanu,25 June 1968 (aged 29),63,1. FC Köln
9,FW,Viorel Moldovan,8 July 1972 (aged 25),24,Coventry City
10,MF,Gheorghe Hagi (Captain),5 February 1965 (aged 33),111,Galatasaray
11,FW,Adrian Ilie,20 April 1974 (aged 24),20,Valencia
12,GK,Bogdan Stelea,5 December 1967 (aged 30),46,Salamanca
13,DF,Liviu Ciobotariu,26 March 1971 (aged 27),4,Național București
14,MF,Radu Niculescu,2 March 1975 (aged 23),11,Național București
15,MF,Lucian Marinescu,24 June 1972 (aged 25),4,Rapid București
16,MF,Gabriel Popescu,23 December 1973 (aged 24),12,Salamanca
17,FW,Ilie Dumitrescu,6 January 1969 (aged 29),62,Atlante
18,MF,Iulian Filipescu,29 March 1974 (aged 24),15,Galatasaray
19,MF,Ovidiu Stîngă,5 December 1972 (aged 25),19,PSV
20,DF,Tibor Selymes,14 May 1970 (aged 28),44,Anderlecht
21,FW,Gheorghe Craioveanu,14 February 1968 (aged 30),18,Real Sociedad
22,GK,Florin Prunea,8 August 1968 (aged 29),35,Universitatea Craiova
Tunisia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Chokri El Ouaer,15 August 1966 (aged 31),51,Espérance
2,FW,Imed Ben Younes,16 June 1974 (aged 23),7,Étoile Sahel
3,DF,Sami Trabelsi (Captain),4 February 1968 (aged 30),45,CS Sfaxien
4,DF,Mounir Boukadida,24 October 1967 (aged 30),30,Étoile Sahel
5,DF,Hatem Trabelsi,25 January 1977 (aged 21),2,CS Sfaxien
6,DF,Ferid Chouchane,19 April 1973 (aged 25),26,Étoile Sahel
7,DF,Tarek Thabet,16 August 1971 (aged 26),43,Espérance
8,MF,Zoubeir Baya,15 May 1971 (aged 27),44,SC Freiburg
9,FW,Riadh Jelassi,7 July 1971 (aged 26),13,Étoile Sahel
10,MF,Kaies Ghodhbane,7 January 1976 (aged 22),46,Étoile Sahel
11,FW,Adel Sellimi,16 November 1972 (aged 25),57,Real Jaén
12,FW,Mourad Melki,9 May 1975 (aged 23),2,Olympique Béja
13,MF,Riadh Bouazizi,8 April 1973 (aged 25),24,Étoile Sahel
14,MF,Sirajeddine Chihi,16 April 1970 (aged 28),47,Espérance
15,MF,Skander Souayah,20 November 1972 (aged 25),31,CS Sfaxien
16,GK,Radhouane Salhi,18 December 1967 (aged 30),5,Étoile Sahel
17,MF,José Clayton,21 March 1974 (aged 24),4,Étoile Sahel
18,FW,Mehdi Ben Slimane,1 January 1974 (aged 24),32,SC Freiburg
19,MF,Faysal Ben Ahmed,7 March 1973 (aged 25),2,Espérance
20,DF,Sabri Jaballah,28 June 1973 (aged 24),20,Club Africain
21,DF,Khaled Badra,8 April 1973 (aged 25),26,Espérance
22,GK,Ali Boumnijel,13 April 1966 (aged 32),12,Bastia
Argentina
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Carlos Roa,15 August 1969 (aged 28),NA,Mallorca
2,DF,Roberto Ayala,14 April 1973 (aged 25),NA,Napoli
3,DF,José Chamot,17 May 1969 (aged 29),NA,Lazio
4,DF,Mauricio Pineda,13 July 1975 (aged 22),NA,Udinese
5,MF,Matías Almeyda,21 December 1973 (aged 24),NA,Lazio
6,DF,Roberto Néstor Sensini,12 October 1966 (aged 31),NA,Parma
7,FW,Claudio López,17 July 1974 (aged 23),NA,Valencia
8,MF,Diego Simeone (Captain),28 April 1970 (aged 28),NA,Inter Milan
9,FW,Gabriel Batistuta,1 February 1969 (aged 29),NA,Fiorentina
10,MF,Ariel Ortega,4 March 1974 (aged 24),NA,Valencia
11,MF,Juan Sebastián Verón,9 March 1975 (aged 23),NA,Sampdoria
12,GK,Germán Burgos,16 April 1969 (aged 29),NA,River Plate
13,DF,Pablo Paz,27 January 1973 (aged 25),NA,Tenerife
14,DF,Nelson Vivas,18 October 1969 (aged 28),NA,Lugano
15,MF,Leonardo Astrada,6 January 1970 (aged 28),NA,River Plate
16,MF,Sergio Berti,17 February 1969 (aged 29),NA,River Plate
17,GK,Pablo Cavallero,13 April 1974 (aged 24),NA,Vélez Sársfield
18,FW,Abel Balbo,1 June 1966 (aged 32),NA,Roma
19,FW,Hernán Crespo,5 July 1975 (aged 22),NA,Parma
20,MF,Marcelo Gallardo,18 January 1976 (aged 22),NA,River Plate
21,FW,Marcelo Delgado,24 March 1973 (aged 25),NA,Racing
22,DF,Javier Zanetti,10 August 1973 (aged 24),NA,Inter Milan
Croatia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Dražen Ladić,1 January 1963 (aged 35),41,Croatia Zagreb
2,FW,Petar Krpan,1 July 1974 (aged 23),1,Osijek
3,DF,Anthony Šerić,15 January 1979 (aged 19),3,Hajduk Split
4,DF,Igor Štimac,6 September 1967 (aged 30),29,Derby County
5,DF,Goran Jurić,5 February 1963 (aged 35),11,Croatia Zagreb
6,DF,Slaven Bilić,11 September 1968 (aged 29),36,Everton
7,MF,Aljoša Asanović,14 December 1965 (aged 32),39,Napoli
8,MF,Robert Prosinečki,12 January 1969 (aged 29),29,Croatia Zagreb
9,FW,Davor Šuker,1 January 1968 (aged 30),36,Real Madrid
10,MF,Zvonimir Boban (Captain),8 October 1968 (aged 29),35,Milan
11,MF,Silvio Marić,20 March 1975 (aged 23),7,Croatia Zagreb
12,GK,Marjan Mrmić,6 May 1965 (aged 33),12,Beşiktaş
13,MF,Mario Stanić,10 April 1972 (aged 26),16,Parma
14,MF,Zvonimir Soldo,2 November 1967 (aged 30),26,VfB Stuttgart
15,DF,Igor Tudor,16 April 1978 (aged 20),5,Hajduk Split
16,FW,Ardian Kozniku,27 October 1967 (aged 30),7,Bastia
17,DF,Robert Jarni,26 October 1968 (aged 29),38,Real Betis
18,MF,Zoran Mamić,30 September 1971 (aged 26),6,VfL Bochum
19,FW,Goran Vlaović,7 August 1972 (aged 25),28,Valencia
20,DF,Dario Šimić,12 November 1975 (aged 22),17,Croatia Zagreb
21,MF,Krunoslav Jurčić,26 November 1969 (aged 28),9,Croatia Zagreb
22,GK,Vladimir Vasilj,6 July 1975 (aged 22),1,Hrvatski Dragovoljac
Jamaica
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Warren Barrett (Captain),9 July 1970 (aged 27),128,Violet Kickers
2,DF,Stephen Malcolm,2 May 1970 (aged 28),62,Seba United
3,MF,Chris Dawes,31 May 1974 (aged 24),20,Galaxy
4,DF,Linval Dixon,14 September 1971 (aged 26),104,Hazard
5,DF,Ian Goodison,21 November 1972 (aged 25),55,Olympic Gardens
6,MF,Fitzroy Simpson,26 February 1970 (aged 28),23,Portsmouth
7,MF,Peter Cargill,2 March 1964 (aged 34),76,Harbour View
8,FW,Marcus Gayle,27 September 1970 (aged 27),5,Wimbledon
9,FW,Andy Williams,23 September 1977 (aged 20),25,Columbus Crew
10,FW,Walter Boyd,1 January 1972 (aged 26),57,Arnett Gardens
11,MF,Theodore Whitmore,5 August 1972 (aged 25),76,Seba United
12,DF,Dean Sewell,13 April 1972 (aged 26),4,Constant Spring
13,GK,Aaron Lawrence,11 August 1970 (aged 27),17,Reno
14,GK,Donovan Ricketts,7 June 1977 (aged 21),0,Wadadah
15,DF,Ricardo Gardner,25 September 1978 (aged 19),34,Harbour View
16,MF,Robbie Earle,27 January 1965 (aged 33),8,Wimbledon
17,FW,Onandi Lowe,2 December 1973 (aged 24),30,Harbour View
18,FW,Deon Burton,25 October 1976 (aged 21),18,Derby County
19,DF,Frank Sinclair,3 December 1971 (aged 26),5,Chelsea
20,MF,Darryl Powell,15 November 1971 (aged 26),2,Derby County
21,DF,Durrant Brown,8 July 1964 (aged 33),125,Wadadah
22,FW,Paul Hall,3 July 1972 (aged 25),23,Portsmouth
Japan
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Nobuyuki Kojima,17 January 1966 (aged 32),5,Bellmare Hiratsuka
2,DF,Akira Narahashi,26 November 1971 (aged 26),29,Kashima Antlers
3,DF,Naoki Soma,19 July 1971 (aged 26),50,Kashima Antlers
4,DF,Masami Ihara (Captain),18 September 1967 (aged 30),116,Yokohama Marinos
5,DF,Norio Omura,6 September 1969 (aged 28),31,Yokohama Marinos
6,MF,Motohiro Yamaguchi,29 January 1969 (aged 29),56,Yokohama Flügels
7,MF,Teruyoshi Ito,31 August 1974 (aged 23),2,Shimizu S-Pulse
8,MF,Hidetoshi Nakata,22 January 1977 (aged 21),21,Bellmare Hiratsuka
9,FW,Masashi Nakayama,23 September 1967 (aged 30),27,Júbilo Iwata
10,MF,Hiroshi Nanami,28 November 1972 (aged 25),44,Júbilo Iwata
11,MF,Shinji Ono,27 September 1979 (aged 18),2,Urawa Red Diamonds
12,FW,Wagner Lopes,29 January 1969 (aged 29),10,Bellmare Hiratsuka
13,MF,Toshihiro Hattori,23 September 1973 (aged 24),6,Júbilo Iwata
14,FW,Masayuki Okano,25 July 1972 (aged 25),25,Urawa Red Diamonds
15,MF,Hiroaki Morishima,30 April 1972 (aged 26),36,Cerezo Osaka
16,DF,Toshihide Saito,20 April 1973 (aged 25),14,Shimizu S-Pulse
17,DF,Yutaka Akita,6 August 1970 (aged 27),27,Kashima Antlers
18,FW,Shoji Jo,17 June 1975 (aged 22),24,Yokohama Marinos
19,DF,Eisuke Nakanishi,23 June 1973 (aged 24),7,JEF United Ichihara
20,GK,Yoshikatsu Kawaguchi,15 August 1975 (aged 22),27,Yokohama Marinos
21,GK,Seigo Narazaki,15 April 1976 (aged 22),2,Yokohama Flügels
22,MF,Takashi Hirano,15 July 1974 (aged 23),10,Nagoya Grampus Eight
