Germany
No.,Pos.,Player,Date of birth (age),Caps,Club
5,DF,Joachim Fritsche,28 October 1951 (aged 22),7,Lokomotive Leipzig
6,MF,Rüdiger Schnuphase,23 January 1954 (aged 20),4,Rot-Weiss Erfurt
7,MF,Jürgen Pommerenke,22 January 1953 (aged 21),10,1. FC Magdeburg
8,FW,Wolfram Löwe,14 May 1945 (aged 29),33,Lokomotive Leipzig
9,FW,Peter Ducke,14 October 1941 (aged 32),57,Carl Zeiss Jena
10,FW,Hans-Jürgen Kreische,19 July 1947 (aged 26),36,Dynamo Dresden
11,FW,Joachim Streich,13 April 1951 (aged 23),26,Hansa Rostock
12,DF,Siegmar Wätzlich,16 November 1947 (aged 26),9,Dynamo Dresden
13,MF,Reinhard Lauck,16 September 1946 (aged 27),14,Dynamo Berlin
14,MF,Jürgen Sparwasser,4 June 1948 (aged 26),28,1. FC Magdeburg
15,FW,Eberhard Vogel,8 April 1943 (aged 31),53,Carl Zeiss Jena
16,MF,Harald Irmscher,12 February 1946 (aged 28),29,Carl Zeiss Jena
17,MF,Erich Hamann,27 November 1944 (aged 29),1,FC Vorwärts Frankfurt/Oder
18,DF,Gerd Kische,23 October 1951 (aged 22),13,Hansa Rostock
19,MF,Wolfgang Seguin,14 September 1945 (aged 28),13,1. FC Magdeburg
20,FW,Martin Hoffmann,22 March 1955 (aged 19),3,1. FC Magdeburg
21,GK,Wolfgang Blochwitz,8 February 1941 (aged 33),17,Carl Zeiss Jena
22,GK,Werner Friese,30 March 1946 (aged 28),0,Lokomotive Leipzig
Australia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Jack Reilly,27 August 1945 (aged 28),15,Melbourne Hakoah
2,DF,Doug Utjesenovic,8 October 1946 (aged 27),19,St George-Budapest
3,DF,Peter Wilson (c),15 September 1947 (aged 26),34,Safeway United
4,DF,Manfred Schäfer,12 February 1943 (aged 31),49,St George-Budapest
5,DF,Colin Curran,21 August 1947 (aged 26),13,Western Suburbs
6,MF,Ray Richards,18 May 1946 (aged 28),31,Marconi Fairfield
7,MF,Jimmy Rooney,10 December 1945 (aged 28),20,APIA Leichhardt
8,MF,Jimmy Mackay,19 December 1943 (aged 30),30,Sydney Hakoah
9,MF,Johnny Warren,17 May 1943 (aged 31),44,St George-Budapest
10,FW,Garry Manuel,20 February 1950 (aged 24),4,Pan-Hellenic
11,FW,Attila Abonyi,16 August 1946 (aged 27),39,St George-Budapest
12,FW,Adrian Alston,6 February 1949 (aged 25),34,Safeway United
13,MF,Peter Ollerton,20 May 1951 (aged 23),4,APIA Leichhardt
14,MF,Max Tolson,18 July 1945 (aged 28),16,Safeway United
15,DF,Harry Williams,7 May 1951 (aged 23),3,St George-Budapest
16,DF,Ivo Rudic,24 January 1942 (aged 32),0,Pan-Hellenic
17,DF,Dave Harding,14 August 1946 (aged 27),1,Pan-Hellenic
18,MF,Johnny Watkiss,28 March 1941 (aged 33),23,Sydney Hakoah
19,MF,Ernie Campbell,20 October 1949 (aged 24),8,Marconi Fairfield
20,FW,Branko Buljevic,6 September 1947 (aged 26),19,Footscray JUST
21,GK,Jim Milisavljevic,15 April 1951 (aged 23),0,Footscray JUST
22,GK,Allan Maher,21 July 1950 (aged 23),0,Sutherland Shire
Chile
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Leopoldo Vallejos,16 July 1944 (aged 29),13,Unión Española
2,DF,Rolando García,15 December 1942 (aged 31),14,Colo-Colo
3,DF,Alberto Quintano,26 April 1946 (aged 28),33,Cruz Azul
4,DF,Antonio Arias,9 October 1944 (aged 29),25,Unión Española
5,DF,Elías Figueroa,25 October 1946 (aged 27),19,Internacional
6,DF,Juan Rodríguez,16 January 1944 (aged 30),24,Atlético Español
7,FW,Carlos Caszely,5 July 1950 (aged 23),20,Levante
8,MF,Francisco Valdés (c),19 March 1943 (aged 31),44,Colo-Colo
9,FW,Sergio Ahumada,2 October 1948 (aged 25),12,Colo-Colo
10,MF,Carlos Reinoso,7 March 1945 (aged 29),25,América
11,FW,Leonardo Véliz,3 September 1945 (aged 28),18,Colo-Colo
12,DF,Juan Machuca,7 March 1951 (aged 23),18,Unión Española
13,DF,Rafael González,24 April 1950 (aged 24),10,Colo-Colo
14,MF,Alfonso Lara,27 April 1946 (aged 28),27,Colo-Colo
15,DF,Mario Galindo,10 August 1951 (aged 22),6,Colo-Colo
16,MF,Guillermo Páez,18 April 1945 (aged 29),11,Colo-Colo
17,FW,Guillermo Yávar,26 March 1943 (aged 31),24,Universidad de Chile
18,MF,Jorge Socías,6 October 1951 (aged 22),2,Universidad de Chile
19,MF,Rogelio Farías,13 August 1949 (aged 24),10,Unión Española
20,FW,Osvaldo Castro,14 April 1947 (aged 27),24,América
21,GK,Juan Olivares,20 February 1941 (aged 33),32,Unión Española
22,GK,Adolfo Nef,18 January 1946 (aged 28),26,Colo-Colo
Brazil
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Leão,11 July 1949 (aged 24),19,Palmeiras
2,DF,Luís Pereira,21 June 1949 (aged 24),15,Palmeiras
3,DF,Marinho Peres,19 March 1947 (aged 27),5,Santos
4,DF,Zé Maria,18 May 1949 (aged 25),28,Corinthians
5,MF,Piazza (c),25 February 1943 (aged 31),44,Cruzeiro
6,DF,Marinho Chagas,8 February 1953 (aged 21),9,Botafogo
7,FW,Jairzinho,25 December 1944 (aged 29),73,Botafogo
8,MF,Leivinha,11 September 1949 (aged 24),18,Palmeiras
9,FW,César,17 May 1945 (aged 29),8,Palmeiras
10,MF,Rivellino,1 January 1946 (aged 28),55,Corinthians
11,MF,Paulo Cézar,16 June 1949 (aged 24),42,Flamengo
12,GK,Renato,5 December 1944 (aged 29),2,Flamengo
13,FW,Valdomiro,17 February 1946 (aged 28),9,Internacional
14,DF,Nelinho,26 July 1950 (aged 23),2,Cruzeiro
15,DF,Alfredo,18 October 1946 (aged 27),1,Palmeiras
16,DF,Marco Antônio,6 February 1951 (aged 23),27,Fluminense
17,MF,Carpegiani,7 February 1949 (aged 25),5,Internacional
18,MF,Ademir da Guia,3 April 1942 (aged 32),8,Palmeiras
19,FW,Mirandinha,26 February 1952 (aged 22),3,São Paulo
20,FW,Edu,6 August 1949 (aged 24),41,Santos
21,FW,Dirceu,15 June 1952 (aged 21),4,Botafogo
22,GK,Waldir Peres,2 February 1951 (aged 23),0,São Paulo
Scotland
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,David Harvey,7 February 1948 (aged 26),7,Leeds United
2,DF,Sandy Jardine,31 December 1948 (aged 25),16,Rangers
3,DF,Danny McGrain,1 May 1950 (aged 24),12,Celtic
4,MF,Billy Bremner (c),9 December 1942 (aged 31),48,Leeds United
5,DF,Jim Holton,11 April 1951 (aged 23),11,Manchester United
6,DF,John Blackley,12 May 1948 (aged 26),3,Hibernian
7,MF,Jimmy Johnstone,30 September 1944 (aged 29),21,Celtic
8,FW,Kenny Dalglish,4 March 1951 (aged 23),19,Celtic
9,FW,Joe Jordan,15 December 1951 (aged 22),11,Leeds United
10,MF,David Hay,29 January 1948 (aged 26),24,Celtic
11,FW,Peter Lorimer,14 December 1946 (aged 27),14,Leeds United
12,GK,Thomson Allan,5 October 1946 (aged 27),2,Dundee
13,GK,Jim Stewart,9 March 1954 (aged 20),0,Kilmarnock
14,DF,Martin Buchan,6 March 1949 (aged 25),13,Manchester United
15,MF,Peter Cormack,17 July 1946 (aged 27),9,Liverpool
16,DF,Willie Donachie,5 October 1951 (aged 22),11,Manchester City
17,MF,Donald Ford,25 October 1944 (aged 29),3,Hearts
18,MF,Tommy Hutchison,22 September 1947 (aged 26),8,Coventry City
19,FW,Denis Law,24 February 1940 (aged 34),54,Manchester City
20,FW,Willie Morgan,2 October 1944 (aged 29),19,Manchester United
21,DF,Gordon McQueen,26 June 1952 (aged 21),1,Leeds United
22,DF,Erich Schaedler,6 August 1949 (aged 24),1,Hibernian
Yugoslavia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Enver Marić,23 April 1948 (aged 26),,Velež Mostar
2,DF,Ivan Buljan,11 December 1949 (aged 24),,Hajduk Split
3,DF,Enver Hadžiabdić,6 November 1945 (aged 28),,Željezničar
4,MF,Dražen Mužinić,25 January 1953 (aged 21),,Hajduk Split
5,DF,Josip Katalinski,12 May 1948 (aged 26),,Željezničar
6,MF,Vladislav Bogićević,7 November 1950 (aged 23),,Red Star Belgrade
7,FW,Ilija Petković,22 September 1945 (aged 28),,Troyes
8,MF,Branko Oblak,27 May 1947 (aged 27),,Hajduk Split
9,FW,Ivica Šurjak,23 March 1953 (aged 21),,Hajduk Split
10,MF,Jovan Aćimović,21 June 1948 (aged 25),,Red Star Belgrade
11,FW,Dragan Džajić (c),30 May 1946 (aged 28),,Red Star Belgrade
12,MF,Jurica Jerković,25 February 1950 (aged 24),,Hajduk Split
13,MF,Miroslav Pavlović,23 October 1942 (aged 31),,Red Star Belgrade
14,DF,Luka Peruzović,26 February 1952 (aged 22),,Hajduk Split
15,DF,Kiril Dojčinovski,17 October 1943 (aged 30),,Red Star Belgrade
16,MF,Franjo Vladić,19 October 1951 (aged 22),,Velež Mostar
17,FW,Danilo Popivoda,1 May 1947 (aged 27),,Olimpija Ljubljana
18,FW,Stanislav Karasi,8 November 1946 (aged 27),,Red Star Belgrade
19,FW,Dušan Bajević,10 December 1948 (aged 25),,Velež Mostar
20,FW,Vladimir Petrović,1 July 1955 (aged 18),,Red Star Belgrade
21,GK,Ognjen Petrović,2 January 1948 (aged 26),,Red Star Belgrade
22,GK,Rizah Mešković,10 August 1947 (aged 26),,Hajduk Split
Zaire
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Kazadi Mwamba,6 March 1947 (aged 27),,TP Mazembe
2,DF,Mwepu Ilunga,22 August 1949 (aged 24),,TP Mazembe
3,DF,Mwanza Mukombo,17 December 1945 (aged 28),,TP Mazembe
4,DF,Bwanga Tshimen,4 January 1949 (aged 25),,TP Mazembe
5,DF,Lobilo Boba,10 April 1950 (aged 24),,AS Vita Club
6,MF,Kilasu Massamba,22 December 1950 (aged 23),,AS Bilima
7,MF,Tshinabu Wa Munda,8 May 1946 (aged 28),,TP Mazembe
8,MF,Mana Mamuwene,10 October 1947 (aged 26),,CS Imana
9,MF,Kembo Uba Kembo,27 December 1947 (aged 26),,AS Vita Club
10,MF,Kidumu Mantantu (c),17 November 1946 (aged 27),,CS Imana
11,DF,Kabasu Babo,4 March 1950 (aged 24),,AS Bilima
12,GK,Tubilandu Ndimbi,15 March 1948 (aged 26),,AS Vita Club
13,MF,Ndaye Mulamba,4 November 1948 (aged 25),,AS Vita Club
14,FW,Mayanga Maku,31 October 1948 (aged 25),,AS Vita Club
15,MF,Kibonge Mafu,12 February 1945 (aged 29),,AS Vita Club
16,DF,Mwape Mialo,30 December 1951 (aged 22),,Nyiki Lubumbashi
17,MF,Kafula Ngoie,11 November 1945 (aged 28),,TP Mazembe
18,FW,Mavuba Mafuila,15 December 1949 (aged 24),,AS Vita Club
19,FW,Mbungu Ekofa,24 November 1948 (aged 25),,CS Imana
20,FW,Jean Kalala N'Tumba,7 January 1949 (aged 25),,AS Vita Club
21,FW,Kakoko Etepé,22 November 1950 (aged 23),,CS Imana
22,GK,Kalambay Otepa,12 November 1948 (aged 25),,TP Mazembe
Netherlands
No.,Pos.,Player,Date of birth (age),Caps,Club
1,MF,Ruud Geels,28 July 1948 (aged 25),3,Club Brugge
2,MF,Arie Haan,16 November 1948 (aged 25),10,Ajax
3,MF,Willem van Hanegem,20 February 1944 (aged 30),29,Feyenoord
4,DF,Kees van Ierssel,6 December 1945 (aged 28),4,Twente
5,DF,Rinus Israël,19 March 1943 (aged 31),44,Feyenoord
6,DF,Wim Jansen,28 October 1946 (aged 27),25,Feyenoord
7,MF,Theo de Jong,11 August 1947 (aged 26),8,Feyenoord
8,GK,Jan Jongbloed,25 November 1940 (aged 33),2,FC Amsterdam
9,FW,Piet Keizer,14 June 1943 (aged 30),33,Ajax
10,MF,René van de Kerkhof,16 September 1951 (aged 22),5,PSV
11,MF,Willy van de Kerkhof,16 September 1951 (aged 22),1,PSV
12,DF,Ruud Krol,24 March 1949 (aged 25),20,Ajax
13,MF,Johan Neeskens,15 September 1951 (aged 22),17,Ajax
14,MF,Johan Cruyff (c),25 April 1947 (aged 27),28,Barcelona
15,FW,Rob Rensenbrink,3 July 1947 (aged 26),13,Anderlechtois
16,FW,Johnny Rep,25 November 1951 (aged 22),5,Ajax
17,DF,Wim Rijsbergen,18 January 1952 (aged 22),1,Feyenoord
18,GK,Piet Schrijvers,15 December 1946 (aged 27),5,Twente
19,DF,Pleun Strik,27 May 1944 (aged 30),8,PSV
20,DF,Wim Suurbier,16 January 1945 (aged 29),27,Ajax
21,GK,Eddy Treijtel,28 May 1946 (aged 28),4,Feyenoord
22,DF,Harry Vos,4 September 1946 (aged 27),0,Feyenoord
Sweden
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ronnie Hellström,21 February 1949 (aged 25),,Hammarby IF
2,DF,Jan Olsson,30 March 1942 (aged 32),,Åtvidabergs FF
3,DF,Kent Karlsson,25 November 1945 (aged 28),,Åtvidabergs FF
4,DF,Björn Nordqvist (c),6 October 1942 (aged 31),,PSV
5,DF,Björn Andersson,20 July 1951 (aged 22),,Östers IF
6,MF,Ove Grahn,9 May 1943 (aged 31),,Grasshopper
7,MF,Bo Larsson,5 May 1944 (aged 30),,Malmö FF
8,MF,Conny Torstensson,28 August 1949 (aged 24),,Bayern Munich
9,FW,Ove Kindvall,16 May 1943 (aged 31),,IFK Norrköping
10,FW,Ralf Edström,7 October 1952 (aged 21),,PSV
11,FW,Roland Sandberg,16 December 1946 (aged 27),,1. FC Kaiserslautern
12,GK,Sven-Gunnar Larsson,10 May 1940 (aged 34),,Örebro SK
13,DF,Roland Grip,1 January 1941 (aged 33),,IK Sirius
14,MF,Staffan Tapper,10 July 1948 (aged 25),,Malmö FF
15,MF,Benno Magnusson,4 February 1953 (aged 21),,1. FC Kaiserslautern
16,MF,Inge Ejderstedt,24 December 1946 (aged 27),,Östers IF
17,GK,Göran Hagberg,8 November 1947 (aged 26),,Östers IF
18,DF,Jörgen Augustsson,28 October 1952 (aged 21),,Åtvidabergs FF
19,MF,Claes Cronqvist,15 October 1944 (aged 29),,Landskrona BoIS
20,MF,Sven Lindman,19 April 1942 (aged 32),,Djurgårdens IF
21,MF,Örjan Persson,27 August 1942 (aged 31),,Örgryte IS
22,MF,Thomas Ahlström,17 July 1952 (aged 21),,IF Elfsborg
Uruguay
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ladislao Mazurkiewicz,14 February 1945 (aged 29),,Atlético Mineiro
2,DF,Baudilio Jáuregui,9 July 1945 (aged 28),,River Plate
3,DF,Juan Carlos Masnik (c),2 March 1943 (aged 31),,Nacional
4,DF,Pablo Forlán,14 July 1945 (aged 28),,São Paulo
5,DF,Julio Montero Castillo,25 April 1944 (aged 30),,Nacional
6,DF,Ricardo Pavoni,8 July 1943 (aged 30),,Independiente
7,MF,Luis Cubilla,28 March 1940 (aged 34),,Nacional
8,MF,Víctor Espárrago,6 October 1944 (aged 29),,Sevilla
9,FW,Fernando Morena,2 February 1952 (aged 22),,Peñarol
10,MF,Pedro Rocha,3 December 1942 (aged 31),,São Paulo
11,FW,Rubén Corbo,20 January 1952 (aged 22),,Peñarol
12,GK,Héctor Santos,29 October 1944 (aged 29),,Alianza Lima
13,DF,Gustavo de Simone,23 April 1948 (aged 26),,Defensor Sporting
14,DF,Luis Garisto,3 December 1945 (aged 28),,Peñarol
15,DF,Mario González,27 May 1950 (aged 24),,Peñarol
16,MF,Alberto Cardaccio,26 August 1949 (aged 24),,Danubio
17,MF,Julio César Jiménez,27 August 1954 (aged 19),,Peñarol
18,MF,Walter Mantegazza,17 June 1952 (aged 21),,Nacional
19,FW,Denis Milar,20 June 1952 (aged 21),,Liverpool
20,FW,Juan Silva,5 August 1948 (aged 25),,Peñarol
21,FW,José Gómez,23 October 1949 (aged 24),,Cerro
22,GK,Gustavo Fernández,16 February 1952 (aged 22),,Rentistas
Bulgaria
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Rumyancho Goranov,17 March 1950 (aged 24),20,Lokomotiv Sofia
2,DF,Ivan Zafirov,30 December 1947 (aged 26),23,CSKA SZ Sofia
3,DF,Dobromir Zhechev,12 November 1942 (aged 31),67,Levski-Spartak Sofia
4,MF,Stefan Velichkov,15 February 1949 (aged 25),18,Etar Veliko Tarnovo
5,DF,Bozhil Kolev,20 May 1949 (aged 25),30,CSKA SZ Sofia
6,DF,Dimitar Penev,12 July 1945 (aged 28),75,CSKA SZ Sofia
7,FW,Voyn Voynov,7 September 1952 (aged 21),11,Levski-Spartak Sofia
8,FW,Hristo Bonev (c),3 February 1947 (aged 27),60,DFS Lokomotiv Plovdiv
9,FW,Atanas Mihailov,4 July 1949 (aged 24),31,Lokomotiv Sofia
10,MF,Ivan Stoyanov,20 January 1949 (aged 25),17,Levski-Spartak Sofia
11,MF,Georgi Denev,18 April 1950 (aged 24),24,CSKA SZ Sofia
12,DF,Stefan Aladzhov,18 October 1947 (aged 26),25,Levski-Spartak Sofia
13,DF,Mladen Vasilev,29 July 1947 (aged 26),19,Akademik Sofia
14,FW,Kiril Milanov,17 October 1948 (aged 25),9,Levski-Spartak Sofia
15,FW,Pavel Panov,14 September 1950 (aged 23),8,Levski-Spartak Sofia
16,FW,Bozhidar Grigorov,27 July 1945 (aged 28),3,Slavia Sofia
17,MF,Asparuh Nikodimov,21 August 1945 (aged 28),17,CSKA SZ Sofia
18,MF,Tsonyo Vasilev,7 January 1952 (aged 22),6,CSKA SZ Sofia
19,MF,Kiril Ivkov,21 June 1946 (aged 27),20,Levski-Spartak Sofia
20,FW,Krasimir Borisov,8 April 1950 (aged 24),7,Levski-Spartak Sofia
21,GK,Stefan Staykov,3 October 1949 (aged 24),5,Levski-Spartak Sofia
22,GK,Simeon Simeonov,26 April 1946 (aged 28),32,Slavia Sofia
Poland
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Andrzej Fischer,15 January 1952 (aged 22),1,Górnik Zabrze
2,GK,Jan Tomaszewski,9 January 1948 (aged 26),14,ŁKS Łódź
3,GK,Zygmunt Kalinowski,2 May 1949 (aged 25),4,Śląsk Wrocław
4,DF,Antoni Szymanowski,13 January 1951 (aged 23),28,Wisła Kraków
5,DF,Zbigniew Gut,17 April 1949 (aged 25),9,Odra Opole
6,DF,Jerzy Gorgoń,18 July 1949 (aged 24),31,Górnik Zabrze
7,MF,Henryk Wieczorek,14 December 1949 (aged 24),3,Górnik Zabrze
8,DF,Mirosław Bulzacki,23 October 1951 (aged 22),16,ŁKS Łódź
9,DF,Władysław Żmuda,6 June 1954 (aged 20),2,Gwardia Warszawa
10,DF,Adam Musiał,18 December 1948 (aged 25),25,Wisła Kraków
11,MF,Lesław Ćmikiewicz,3 May 1947 (aged 27),32,Legia Warsaw
12,MF,Kazimierz Deyna (c),23 October 1947 (aged 26),49,Legia Warsaw
13,MF,Henryk Kasperczak,10 July 1946 (aged 27),17,Stal Mielec
14,MF,Zygmunt Maszczyk,3 May 1945 (aged 29),16,Ruch Chorzów
15,FW,Roman Jakóbczak,26 February 1946 (aged 28),1,Lech Poznań
16,FW,Grzegorz Lato,8 April 1950 (aged 24),13,Stal Mielec
17,FW,Andrzej Szarmach,3 October 1950 (aged 23),6,Górnik Zabrze
18,FW,Robert Gadocha,10 January 1946 (aged 28),49,Legia Warsaw
19,FW,Jan Domarski,28 October 1946 (aged 27),13,Stal Mielec
20,FW,Zdzisław Kapka,7 December 1954 (aged 19),2,Wisła Kraków
21,FW,Kazimierz Kmiecik,19 September 1951 (aged 22),9,Wisła Kraków
22,FW,Marek Kusto,29 April 1954 (aged 20),1,Wisła Kraków
Italy
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Dino Zoff,28 February 1942 (aged 32),32,Juventus
2,DF,Luciano Spinosi,9 May 1950 (aged 24),16,Juventus
3,DF,Giacinto Facchetti (c),18 July 1942 (aged 31),73,Internazionale
4,MF,Romeo Benetti,20 October 1945 (aged 28),15,Milan
5,DF,Francesco Morini,12 August 1944 (aged 29),6,Juventus
6,DF,Tarcisio Burgnich,25 April 1939 (aged 35),63,Internazionale
7,MF,Sandro Mazzola,8 November 1942 (aged 31),67,Internazionale
8,MF,Fabio Capello,18 June 1946 (aged 27),16,Juventus
9,FW,Giorgio Chinaglia,24 January 1947 (aged 27),9,Lazio
10,MF,Gianni Rivera,18 August 1943 (aged 30),58,Milan
11,FW,Luigi Riva,7 November 1944 (aged 29),40,Cagliari
12,GK,Enrico Albertosi,2 November 1939 (aged 34),34,Cagliari
13,DF,Giuseppe Sabadini,26 March 1949 (aged 25),4,Milan
14,DF,Mauro Bellugi,7 February 1950 (aged 24),7,Internazionale
15,DF,Giuseppe Wilson,27 October 1945 (aged 28),1,Lazio
16,MF,Antonio Juliano,1 January 1943 (aged 31),17,Napoli
17,MF,Luciano Re Cecconi,1 December 1948 (aged 25),0,Lazio
18,MF,Franco Causio,1 February 1949 (aged 25),10,Juventus
19,FW,Pietro Anastasi,7 April 1948 (aged 26),20,Juventus
20,FW,Roberto Boninsegna,13 November 1943 (aged 30),18,Internazionale
21,FW,Paolo Pulici,27 April 1950 (aged 24),3,Torino
22,GK,Luciano Castellini,12 December 1945 (aged 28),0,Torino
Argentina
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Daniel Carnevali,4 December 1946 (aged 27),,Las Palmas
2,FW,Rubén Ayala,8 January 1950 (aged 24),,Atlético Madrid
3,MF,Carlos Babington,20 September 1949 (aged 24),,Huracán
4,FW,Agustín Balbuena,1 September 1945 (aged 28),,Independiente
5,DF,Ángel Bargas,29 October 1946 (aged 27),,Nantes
6,MF,Miguel Ángel Brindisi,8 October 1950 (aged 23),,Huracán
7,DF,Jorge Carrascosa,15 August 1948 (aged 25),,Huracán
8,MF,Enrique Chazarreta,29 July 1947 (aged 26),,San Lorenzo
9,DF,Rubén Glaria,10 March 1948 (aged 26),,San Lorenzo
10,DF,Ramón Heredia,26 February 1951 (aged 23),,Atlético Madrid
11,MF,René Houseman,19 July 1953 (aged 20),,Huracán
12,GK,Ubaldo Fillol,21 July 1950 (aged 23),,River Plate
13,FW,Mario Kempes,15 July 1954 (aged 19),,Rosario Central
14,DF,Roberto Perfumo (c),3 October 1942 (aged 31),,Cruzeiro
15,FW,Aldo Poy,14 September 1945 (aged 28),,Rosario Central
16,DF,Francisco Sá,25 October 1945 (aged 28),,Independiente
17,MF,Carlos Squeo,4 June 1948 (aged 26),,Racing
18,MF,Roberto Telch,6 November 1943 (aged 30),,San Lorenzo
19,MF,Néstor Togneri,27 November 1942 (aged 31),,Estudiantes La Plata
20,DF,Enrique Wolff,21 February 1949 (aged 25),,River Plate
21,GK,Miguel Ángel Santoro,27 February 1942 (aged 32),,Independiente
22,FW,Héctor Yazalde,29 May 1946 (aged 28),,Sporting CP
Haiti
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Henri Françillon,26 May 1946 (aged 28),,Victory
2,DF,Wilfried Louis,25 October 1949 (aged 24),,Don Bosco
3,DF,Arsène Auguste,3 February 1951 (aged 23),,Racing Club Haïtien
4,DF,Fritz André,18 September 1946 (aged 27),,Violette
5,DF,Serge Ducosté,4 February 1944 (aged 30),,Aigle Noir
6,DF,Pierre Bayonne,11 June 1949 (aged 25),,Violette
7,MF,Philippe Vorbe,14 September 1947 (aged 26),,Violette
8,MF,Jean-Claude Désir,8 August 1946 (aged 27),,Aigle Noir
9,MF,Eddy Antoine,27 August 1949 (aged 24),,Racing Club Haïtien
10,MF,Guy François,18 September 1947 (aged 26),,Violette
11,FW,Guy Saint-Vil,21 October 1942 (aged 31),,Racing Club Haïtien
12,MF,Ernst Jean-Joseph,11 June 1948 (aged 26),,Violette
13,DF,Serge Racine,9 October 1951 (aged 22),,Aigle Noir
14,DF,Wilner Nazaire (c),30 March 1950 (aged 24),,Valenciennes
15,FW,Roger Saint-Vil,8 December 1949 (aged 24),,Archibald
16,FW,Fritz Leandré,13 March 1948 (aged 26),,Racing Club Haïtien
17,MF,Joseph-Marion Leandré,9 May 1945 (aged 29),,Racing Club Haïtien
18,FW,Claude Barthélemy,9 May 1945 (aged 29),,Racing Club Haïtien
19,DF,Jean-Herbert Austin,23 February 1950 (aged 24),,Violette
20,FW,Emmanuel Sanon,25 June 1951 (aged 22),,Don Bosco
21,GK,Wilner Piquant,12 October 1949 (aged 24),,Violette
22,GK,Gérard Joseph,22 October 1949 (aged 24),,Racing Club Haïtien
