Germany
No.,Pos.,Player,Date of birth (age),Caps,Club
4,MF,Danny Blanchflower (captain),10 February 1926 (aged 32),30,Tottenham Hotspur
5,DF,Dick Keith,15 May 1933 (aged 25),3,Newcastle United
6,MF,Bertie Peacock,29 September 1928 (aged 29),15,Celtic
7,FW,Billy Bingham,5 August 1931 (aged 26),28,Sunderland
8,FW,Wilbur Cush,10 June 1928 (aged 29),11,Leeds United
9,FW,Billy Simpson,12 December 1929 (aged 28),11,Rangers
10,FW,Jimmy McIlroy,25 October 1931 (aged 26),26,Burnley
11,FW,Peter McParland,25 April 1934 (aged 24),14,Aston Villa
12,GK,Norman Uprichard,20 April 1928 (aged 30),15,Portsmouth
13,FW,Tommy Casey,11 March 1930 (aged 28),8,Newcastle United
14,FW,Jackie Scott,22 December 1933 (aged 24),0,Grimsby Town
15,FW,Sammy McCrory,11 October 1924 (aged 33),1,Southend United
16,FW,Derek Dougan,20 January 1938 (aged 20),0,Portsmouth
17,FW,Fay Coyle,1 April 1933 (aged 25),3,Nottingham Forest
18,GK,Roy Rea*,28 November 1934 (aged 23),0,Glenavon
19,DF,Len Graham*,17 October 1925 (aged 32),13,Doncaster Rovers
20,MF,Sammy Chapman*,16 February 1938 (aged 20),0,Portsmouth
21,DF,Tommy Hamill*,10 July 1933 (aged 24),0,Linfield
22,FW,Bobby Trainor*,25 April 1934 (aged 24),0,Coleraine
Czechoslovakia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Imrich Stacho,4 November 1931 (aged 26),13,FC Spartak Trnava
2,DF,Gustav Mráz,11 September 1934 (aged 23),2,CH Bratislava
3,MF,Jiří Čadek,7 December 1935 (aged 22),2,Dukla Prague
4,DF,Ladislav Novák (captain),5 December 1930 (aged 27),33,Dukla Prague
5,MF,Josef Masopust,9 February 1931 (aged 27),18,Dukla Prague
6,DF,Svatopluk Pluskal,28 October 1930 (aged 27),19,Dukla Prague
7,FW,Kazimír Gajdoš,28 March 1934 (aged 24),4,CH Bratislava
8,FW,Milan Dvořák,19 November 1934 (aged 23),6,Dukla Prague
9,FW,Pavol Molnár,13 February 1936 (aged 22),7,CH Bratislava
10,FW,Jaroslav Borovička,26 January 1931 (aged 27),15,Dukla Prague
11,FW,Tadeáš Kraus,22 October 1932 (aged 25),21,Spartak Praha Sokolovo
12,FW,Zdeněk Zikán,10 November 1937 (aged 20),1,Dukla Pardubice
13,FW,Václav Hovorka,19 September 1931 (aged 26),1,Dynamo Praha
14,FW,Jiří Feureisl,3 October 1931 (aged 26),8,Slavia Karlovy Vary
15,FW,Jan Hertl,23 January 1929 (aged 29),22,Spartak Praha Sokolovo
16,DF,Ján Popluhár,12 September 1935 (aged 22),0,ŠK Slovan Bratislava
17,DF,Titus Buberník,12 October 1933 (aged 24),0,CH Bratislava
18,MF,Adolf Scherer,5 May 1938 (aged 20),0,CH Bratislava
19,GK,Břetislav Dolejší,26 September 1928 (aged 29),13,Dynamo Praha
20,MF,Anton Moravčík,3 June 1931 (aged 27),19,ŠK Slovan Bratislava
21,DF,František Šafránek,2 January 1931 (aged 27),13,Dukla Prague
22,GK,Viliam Schrojf,2 August 1931 (aged 26),7,ŠK Slovan Bratislava
Argentina
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Amadeo Carrizo,12 May 1926 (aged 32),,River Plate
2,MF,Pedro Dellacha (captain),9 July 1926 (aged 31),,Racing
3,DF,Federico Vairo,27 January 1931 (aged 27),,River Plate
4,DF,Juan F. Lombardo,11 June 1925 (aged 32),,Boca Juniors
5,DF,Néstor Rossi,10 May 1925 (aged 33),,River Plate
6,MF,José Varacka,27 May 1932 (aged 26),,Independiente
7,FW,Oreste Corbatta,11 March 1936 (aged 22),,Racing
8,FW,Eliseo Prado,17 September 1929 (aged 28),,River Plate
9,FW,Norberto Menéndez,14 December 1936 (aged 21),,River Plate
10,FW,Alfredo Rojas,20 February 1937 (aged 21),,Lanús
11,FW,Ángel Labruna,28 September 1918 (aged 39),,River Plate
12,GK,Julio Musimessi,9 July 1924 (aged 33),,Boca Juniors
13,DF,Alfredo Pérez,10 April 1929 (aged 29),,River Plate
14,DF,Federico Edwards,25 January 1931 (aged 27),,Boca Juniors
15,DF,David Acevedo,20 February 1937 (aged 21),,Independiente
16,MF,Eliseo Mouriño,3 June 1927 (aged 31),,Boca Juniors
17,DF,José Ramos Delgado,25 August 1935 (aged 22),,Lanús
18,FW,Norberto Boggio,11 August 1931 (aged 26),,San Lorenzo
19,FW,Ludovico Avio,6 October 1932 (aged 25),,Vélez Sarsfield
20,FW,Ricardo Infante,21 June 1924 (aged 33),,Estudiantes (LP)
21,FW,José Sanfilippo,4 May 1935 (aged 23),,San Lorenzo
22,FW,Osvaldo Cruz,29 May 1931 (aged 27),,Independiente
France
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Claude Abbes,24 May 1927 (aged 31),3,Saint-Ètienne
2,GK,Dominique Colonna,4 September 1928 (aged 29),3,Stade de Reims
3,GK,François Remetter,8 August 1928 (aged 29),23,Girondins de Bordeaux
4,DF,Raymond Kaelbel,31 January 1932 (aged 26),17,AS Monaco
5,DF,André Lerond,6 December 1930 (aged 27),4,Olympique de Lyon
6,DF,Roger Marche (captain),5 March 1924 (aged 34),55,RC Paris
7,DF,Robert Mouynet,25 March 1930 (aged 28),0,Olympique de Lyon
8,MF,Bernard Chiarelli,24 February 1934 (aged 24),1,Valenciennes
9,MF,Kazimir Hnatow,9 January 1929 (aged 29),0,Angers
10,MF,Robert Jonquet,3 May 1925 (aged 33),46,Stade de Reims
11,MF,Maurice Lafont,13 September 1927 (aged 30),0,Nimes
12,MF,Jean-Jacques Marcel,13 June 1931 (aged 26),25,Marseille
13,DF,Armand Penverne,26 November 1926 (aged 31),26,Stade de Reims
14,MF,Raymond Bellot,9 June 1929 (aged 28),0,AS Monaco
15,FW,Stéphane Bruey,11 December 1932 (aged 25),2,Angers
16,FW,Yvon Douis,16 May 1935 (aged 23),3,Lille
17,FW,Just Fontaine,18 July 1933 (aged 24),5,Stade de Reims
18,MF,Raymond Kopa,13 October 1931 (aged 26),24,Real Madrid
19,MF,Célestin Oliver,12 July 1930 (aged 27),5,UA Sedan-Torcy
20,FW,Roger Piantoni,26 December 1931 (aged 26),25,Stade de Reims
21,FW,Jean Vincent,29 November 1930 (aged 27),22,Stade de Reims
22,FW,Maryan Wisnieski,1 February 1937 (aged 21),9,Lens
Yugoslavia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Vladimir Beara,2 November 1928 (aged 29),53,Red Star Belgrade
2,GK,Srboljub Krivokuća,14 March 1928 (aged 30),4,Vojvodina Novi Sad
3,DF,Vasilije Šijaković,2 August 1929 (aged 28),3,OFK Belgrade
4,MF,Tomislav Crnković,17 June 1929 (aged 28),38,Dinamo Zagreb
5,DF,Novak Tomić,7 January 1936 (aged 22),0,Red Star Belgrade
6,DF,Branko Zebec (captain),17 May 1929 (aged 29),48,Partizan Belgrade
7,FW,Miloš Milutinović,5 February 1933 (aged 25),30,Partizan Belgrade
8,MF,Dobrosav Krstić,5 February 1932 (aged 26),22,Vojvodina Novi Sad
9,MF,Vujadin Boškov,16 May 1931 (aged 27),53,Vojvodina Novi Sad
10,MF,Ivan Šantek,23 April 1932 (aged 26),5,Dinamo Zagreb
11,DF,Vladimir Popović,17 March 1935 (aged 23),1,Red Star Belgrade
12,FW,Aleksandar Petaković,6 August 1932 (aged 25),11,Radnički Belgrade
13,FW,Todor Veselinović,22 October 1930 (aged 27),26,Vojvodina Novi Sad
14,DF,Milorad Milutinović,5 February 1933 (aged 25),,Partizan Belgrade
15,MF,Dragoslav Šekularac,8 November 1937 (aged 20),5,Red Star Belgrade
16,FW,Ilijas Pašić,10 May 1934 (aged 24),7,Željezničar Sarajevo
17,MF,Zdravko Rajkov,5 December 1927 (aged 30),24,Vojvodina Novi Sad
18,FW,Luka Lipošinović,12 May 1932 (aged 26),6,Dinamo Zagreb
19,FW,Radivoje Ognjanović,1 July 1933 (aged 24),1,Radnički Belgrade
20,GK,Gordan Irović,2 July 1934 (aged 23),0,Dinamo Zagreb
21,DF,Nikola Radović,20 October 1932 (aged 25),3,Red Star Belgrade
22,FW,Dražan Jerković,6 August 1936 (aged 21),0,Dinamo Zagreb
Paraguay
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ramón Mayeregger,26 February 1934 (aged 24),,Nacional
2,DF,Edelmiro Arévalo,7 January 1929 (aged 29),,Olimpia
3,MF,Juan Vicente Lezcano,5 April 1937 (aged 21),,Olimpia
4,DF,Ignacio Achúcarro,31 July 1936 (aged 21),,Olimpia
5,MF,Salvador Villalba,29 August 1924 (aged 33),,Libertad
6,DF,Eligio Echagüe,31 December 1938 (aged 19),,Olimpia
7,FW,Juan Bautista Agüero (captain),24 June 1935 (aged 22),,Olimpia
8,FW,José Parodi,30 August 1932 (aged 25),,Olimpia
9,FW,Jorge Lino Romero,23 September 1937 (aged 20),,Sol de América
10,FW,Oscar Aguilera,11 March 1935 (aged 23),,Olimpia
11,FW,Florencio Amarilla,3 January 1935 (aged 23),,Nacional
12,GK,Samuel Aguilar,16 March 1933 (aged 25),,Libertad
13,DF,Luis Gini,31 October 1935 (aged 22),,Sol de América
14,DF,Darío Segovia,18 March 1932 (aged 26),,Sol de América
15,MF,Luis Santos Silva,,,Cerro Porteño
16,FW,Claudio Lezcano,,,Olimpia
17,DF,Agustín Miranda,1 January 1930 (aged 28),,Cerro Porteño
18,FW,Gilberto Penayo,3 April 1933 (aged 25),,Sol de América
19,FW,Eliseo Insfrán,27 October 1935 (aged 22),,Guaraní
20,FW,José Raúl Aveiro,18 July 1936 (aged 21),,Sportivo Luqueño
21,FW,Cayetano Ré,7 February 1938 (aged 20),,Cerro Porteño
22,FW,Eligio Insfrán,27 October 1935 (aged 22),,Guaraní
Scotland
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Tommy Younger (captain),10 April 1930 (aged 28),22,Liverpool
2,DF,Tommy Docherty,24 August 1928 (aged 29),22,Preston North End
3,DF,Alex Parker,2 August 1935 (aged 22),14,Everton
4,DF,Eric Caldow,14 May 1934 (aged 24),10,Rangers
5,DF,John Hewie,13 December 1927 (aged 30),12,Charlton Athletic
6,MF,Harry Haddock,26 July 1925 (aged 32),6,Clyde
7,DF,Ian McColl,7 June 1927 (aged 31),14,Rangers
8,FW,Eddie Turnbull,12 April 1923 (aged 35),5,Hibernian
9,MF,Bobby Evans,16 July 1927 (aged 30),34,Celtic
10,MF,Doug Cowie,1 May 1926 (aged 32),18,Dundee
11,MF,Dave Mackay,14 November 1934 (aged 23),1,Heart of Midlothian
12,GK,Bill Brown,8 October 1931 (aged 26),0,Dundee
13,DF,Sammy Baird,13 May 1930 (aged 28),6,Rangers
14,DF,Graham Leggat,20 June 1934 (aged 23),5,Aberdeen
15,FW,Alex Scott,22 November 1937 (aged 20),5,Rangers
16,FW,Jimmy Murray,4 February 1933 (aged 25),3,Heart of Midlothian
17,MF,Jackie Mudie,10 April 1930 (aged 28),14,Blackpool
18,FW,John Coyle,28 September 1932 (aged 25),0,Clyde
19,MF,Bobby Collins,16 February 1931 (aged 27),19,Celtic
20,FW,Archie Robertson,15 September 1929 (aged 28),4,Clyde
21,MF,Stewart Imlach,6 January 1932 (aged 26),2,Nottingham Forest
22,FW,Willie Fernie,22 November 1928 (aged 29),11,Celtic
Sweden
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Kalle Svensson,11 November 1925 (aged 32),67,Helsingborg
2,DF,Orvar Bergmark,16 November 1930 (aged 27),37,Örebro
3,DF,Sven Axbom,15 October 1926 (aged 31),16,Norrköping
4,MF,Nils Liedholm (captain),8 October 1922 (aged 35),18,Milan
5,MF,Ake Johansson,19 March 1928 (aged 30),16,Norrköping
6,MF,Sigge Parling,26 March 1930 (aged 28),11,Djurgården
7,FW,Kurt Hamrin,19 November 1934 (aged 23),20,Padova
8,FW,Gunnar Gren,31 October 1920 (aged 37),49,Örgryte
9,FW,Agne Simonsson,19 October 1935 (aged 22),3,Örgryte
10,FW,Arne Selmosson,29 March 1931 (aged 27),1,Lazio
11,FW,Lennart Skoglund,24 December 1929 (aged 28),4,Inter Milan
12,GK,Tore Svensson,6 December 1927 (aged 30),1,Malmö
13,DF,Prawitz Öberg,16 November 1930 (aged 27),2,Malmö
14,MF,Bengt Gustavsson,15 January 1928 (aged 30),42,Atalanta
15,MF,Reino Börjesson,4 February 1929 (aged 29),3,Norrby
16,GK,Ingemar Haraldsson,3 February 1928 (aged 30),0,Elfsborg
17,MF,Olle Håkansson,22 February 1927 (aged 31),7,Norrköping
18,FW,Gösta Löfgren,29 August 1923 (aged 34),38,Motala
19,FW,Henry Källgren,13 March 1931 (aged 27),5,Norrköping
20,FW,Bror Mellberg,9 December 1923 (aged 34),3,AIK
21,FW,Bengt Berndtsson,26 January 1933 (aged 25),4,Göteborg
22,FW,Ove Olsson,19 August 1938 (aged 19),1,Göteborg
Wales
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Jack Kelsey,19 November 1929 (aged 28),20,Arsenal
2,DF,Stuart Williams,9 July 1930 (aged 27),11,West Bromwich Albion
3,DF,Mel Hopkins,7 November 1934 (aged 23),13,Tottenham Hotspur
4,DF,Derrick Sullivan,10 August 1930 (aged 27),9,Cardiff City
5,MF,Mel Charles,14 May 1935 (aged 23),14,Swansea Town
6,MF,Dave Bowen (C),7 June 1928 (aged 30),11,Arsenal
7,FW,Terry Medwin,25 September 1932 (aged 25),14,Tottenham Hotspur
8,FW,Ron Hewitt,21 June 1928 (aged 29),2,Cardiff City
9,FW,John Charles,27 December 1931 (aged 26),25,Juventus
10,FW,Ivor Allchurch,16 October 1929 (aged 28),30,Swansea Town
11,FW,Cliff Jones,7 February 1935 (aged 23),17,Tottenham Hotspur
12,GK,Ken Jones,2 January 1936 (aged 22),0,Cardiff City
13,GK,Graham Vearncombe,28 March 1934 (aged 24),1,Cardiff City
14,DF,Trevor Edwards,24 January 1937 (aged 21),0,Charlton Athletic
15,DF,Colin Baker,18 December 1934 (aged 23),0,Cardiff City
16,MF,Vic Crowe,31 January 1932 (aged 26),0,Aston Villa
17,FW,Ken Leek,26 July 1935 (aged 22),0,Leicester City
18,FW,Roy Vernon,14 April 1937 (aged 21),7,Blackburn Rovers
19,FW,Colin Webster,17 July 1932 (aged 25),1,Manchester United
20,MF,John Elsworthy,26 July 1931 (aged 26),0,Ipswich Town
21,MF,Len Allchurch,12 September 1933 (aged 24),6,Swansea Town
22,MF,George Baker,6 April 1934 (aged 24),0,Plymouth Argyle
Hungary
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Gyula Grosics,4 February 1926 (aged 32),52,Tatabányai Bányász SE
2,DF,Sándor Mátrai,20 November 1932 (aged 25),10,Ferencvárosi TC
3,DF,Ferenc Sipos,13 December 1932 (aged 25),7,MTK FC
4,DF,László Sárosi,27 February 1932 (aged 26),5,Vasas SC
5,DF,József Bozsik,28 November 1925 (aged 32),88,Budapest Honvéd FC
6,MF,Pál Berendi,30 November 1932 (aged 25),15,Vasas SC
7,MF,László Budai,19 July 1928 (aged 29),31,Budapest Honvéd FC
8,FW,Lajos Tichy,21 March 1935 (aged 23),19,Budapest Honvéd FC
9,FW,Nándor Hidegkuti (captain),3 March 1922 (aged 36),67,MTK FC
10,FW,Dezső Bundzsák,3 May 1928 (aged 30),6,Vasas SC
11,FW,Károly Sándor,29 November 1928 (aged 29),29,MTK FC
12,DF,Béla Kárpáti,30 September 1929 (aged 28),17,Vasas SC
13,DF,Oszkár Szigeti,1933,1,Diósgyőri VTK
14,FW,Ferenc Szojka,7 April 1931 (aged 27),23,Salgótarjáni BTC
15,MF,Antal Kotász,1 September 1929 (aged 28),15,Budapest Honvéd FC
16,FW,László Lachos,,0,Tatabányai Bányász SE
17,FW,Mihály Vasas,1933,1,Salgótarjáni BTC
18,FW,Tivadar Monostori,24 August 1936 (aged 21),1,Dorogi Bányász
19,FW,Zoltán Friedmanszky,,0,Ferencvárosi TC
20,FW,József Bencsics,6 August 1933 (aged 24),1,Újpesti Dózsa
21,FW,Máté Fenyvesi,20 September 1933 (aged 24),18,Ferencvárosi TC
22,GK,István Ilku,6 March 1933 (aged 25),4,Dorogi Bányász
Mexico
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Antonio Carbajal (captain),7 June 1929 (aged 29),,Club León
2,DF,Jesús del Muro,30 November 1937 (aged 20),,CF Atlas
3,MF,Jorge Romo,20 April 1934 (aged 24),,Club Toluca
4,DF,José Villegas,20 June 1934 (aged 23),,CD Guadalajara
5,DF,Alfonso Portugal,21 January 1934 (aged 24),,Necaxa
6,MF,Francisco Flores,12 February 1926 (aged 32),,CD Guadalajara
7,MF,Alfredo Hernández,18 June 1935 (aged 22),,Club León
8,FW,Salvador Reyes,20 September 1936 (aged 21),,CD Guadalajara
9,FW,Carlos Calderón de la Barca,2 October 1934 (aged 23),,Atlante F.C.
10,FW,Crescencio Gutiérrez,26 October 1933 (aged 24),,CD Guadalajara[1]
11,FW,Enrique Sesma,22 April 1927 (aged 31),,Club Toluca
12,GK,Manuel Camacho,29 April 1929 (aged 29),,Club Toluca
13,GK,Jaime Gómez,29 December 1929 (aged 28),,CD Guadalajara
14,FW,Miguel Gutiérrez,7 May 1931 (aged 27),,CF Atlas
15,MF,Guillermo Sepúlveda,28 February 1934 (aged 24),,CD Guadalajara
16,DF,José Antonio Roca,24 May 1928 (aged 30),,CD Zacatepec
17,DF,Raúl Cárdenas,30 October 1928 (aged 29),,CD Zacatepec
18,MF,Jaime Salazar,6 February 1931 (aged 27),,Necaxa
19,DF,Jaime Belmonte,8 October 1934 (aged 23),,CD Cuautla
20,FW,Carlos Blanco,5 March 1928 (aged 30),,Club Toluca
21,FW,Ligorio López,18 August 1928 (aged 29),,Club Irapuato
22,FW,Carlos González,12 April 1935 (aged 23),,CF Atlas
Brazil
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Carlos José Castilho,27 November 1927 (aged 30),20,Fluminense
2,DF,Hilderaldo Bellini (captain),7 June 1930 (aged 28),8,Vasco da Gama
3,GK,Gilmar,22 August 1930 (aged 27),31,Corinthians
4,DF,Djalma Santos,27 February 1929 (aged 29),47,Portuguesa
5,MF,Dino Sani,23 May 1932 (aged 26),5,São Paulo
6,MF,Didi,8 October 1928 (aged 29),41,Botafogo
7,FW,Mário Zagallo,9 August 1931 (aged 26),3,Flamengo
8,MF,Oreco,13 June 1932 (aged 25),9,Corinthians
9,MF,Zózimo,19 June 1932 (aged 25),26,Bangu
10,FW,Pelé,23 October 1940 (aged 17),5,Santos
11,FW,Garrincha,28 October 1933 (aged 24),8,Botafogo
12,DF,Nílton Santos,16 May 1925 (aged 33),46,Botafogo
13,MF,Moacir,18 May 1936 (aged 22),5,Flamengo
14,DF,De Sordi,14 February 1931 (aged 27),14,São Paulo
15,DF,Orlando,20 September 1935 (aged 22),1,Vasco da Gama
16,DF,Mauro Ramos,30 August 1930 (aged 27),10,São Paulo
17,FW,Joel Antônio Martins,11 November 1931 (aged 26),11,Flamengo
18,FW,Mazzola,24 July 1938 (aged 19),5,Palmeiras
19,MF,Zito,18 August 1932 (aged 25),3,Santos
20,FW,Vavá,12 November 1934 (aged 23),3,Vasco da Gama
21,FW,Dida,26 March 1934 (aged 24),3,Flamengo
22,FW,Pepe,25 February 1935 (aged 23),11,Santos
Russia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Lev Yashin,22 October 1929 (aged 28),22,Dynamo Moscow
2,DF,Vladimir Kesarev,26 February 1930 (aged 28),2,Dynamo Moscow
3,MF,Konstantin Krizhevsky,20 February 1926 (aged 32),9,Dynamo Moscow
4,DF,Boris Kuznetsov,14 July 1928 (aged 29),15,Dynamo Moscow
5,DF,Yuri Voinov,29 November 1931 (aged 26),9,Dynamo Kyiv
6,FW,Igor Netto (captain),9 January 1930 (aged 28),30,Spartak Moscow
7,FW,German Apukhtin,12 June 1936 (aged 21),2,CSKA Moscow
8,FW,Valentin Ivanov,19 November 1934 (aged 23),15,Torpedo Moscow
9,FW,Nikita Simonyan,12 October 1926 (aged 31),13,Spartak Moscow
10,FW,Sergei Salnikov,13 September 1925 (aged 32),17,Spartak Moscow
11,FW,Anatoli Ilyin,27 June 1931 (aged 26),22,Spartak Moscow
12,GK,Vladimir Maslachenko,5 March 1936 (aged 22),0,Lokomotiv Moscow
13,GK,Vladimir Belyayev,15 September 1933 (aged 24),2,Dynamo Moscow
14,DF,Leonid Ostrovskiy,17 January 1936 (aged 22),0,Torpedo Moscow
15,DF,Anatoli Maslyonkin,26 June 1930 (aged 27),8,Spartak Moscow
16,MF,Viktor Tsarev,2 June 1931 (aged 27),1,Dynamo Moscow
17,FW,Aleksandr Ivanov,14 April 1928 (aged 30),0,Zenit Leningrad
18,FW,Valentin Bubukin,23 April 1933 (aged 25),0,Lokomotiv Moscow
19,FW,Gennadi Gusarov,11 March 1937 (aged 21),0,Torpedo Moscow
20,FW,Yuri Falin,2 April 1937 (aged 21),1,Torpedo Moscow
21,FW,Genrich Fedosov,6 December 1932 (aged 25),1,Dynamo Moscow
22,DF,Vladimir Yerokhin,10 April 1930 (aged 28),0,Dynamo Kyiv
England
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Colin McDonald,15 October 1930 (aged 27),1,Burnley
2,DF,Don Howe,12 October 1935 (aged 22),7,West Bromwich Albion
3,DF,Tommy Banks,10 November 1929 (aged 28),1,Bolton Wanderers
4,MF,Eddie Clamp,14 September 1934 (aged 23),1,Wolverhampton Wanderers
5,DF,Billy Wright (captain),6 February 1924 (aged 34),92,Wolverhampton Wanderers
6,DF,Bill Slater,29 April 1927 (aged 31),6,Wolverhampton Wanderers
7,MF,Bryan Douglas,27 May 1934 (aged 24),7,Blackburn Rovers
8,FW,Bobby Robson,18 February 1933 (aged 25),2,West Bromwich Albion
9,FW,Derek Kevan,6 March 1935 (aged 23),7,West Bromwich Albion
10,FW,Johnny Haynes,17 October 1934 (aged 23),20,Fulham
11,MF,Tom Finney,5 April 1922 (aged 36),73,Preston North End
12,GK,Eddie Hopkinson,29 October 1935 (aged 22),6,Bolton Wanderers
13,GK,Alan Hodgkinson*,16 August 1936 (aged 21),4,Sheffield United
14,DF,Peter Sillett,1 February 1933 (aged 25),3,Chelsea
15,MF,Ronnie Clayton,5 August 1934 (aged 23),20,Blackburn Rovers
16,DF,Maurice Norman,8 May 1934 (aged 24),0,Tottenham Hotspur
17,MF,Peter Brabrook,8 November 1937 (aged 20),0,Chelsea
18,MF,Peter Broadbent,15 May 1933 (aged 25),0,Wolverhampton Wanderers
19,FW,Bobby Smith,22 February 1933 (aged 25),0,Tottenham Hotspur
20,FW,Bobby Charlton,11 October 1937 (aged 20),3,Manchester United
21,MF,Alan A'Court,30 September 1934 (aged 23),1,Liverpool
22,MF,Maurice Setters*,16 December 1936 (aged 21),0,West Bromwich Albion
Austria
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Rudolf Szanwald,6 July 1931 (aged 26),2,Wiener SC
2,DF,Paul Halla,10 April 1931 (aged 27),20,SK Rapid Wien
3,DF,Ernst Happel,29 November 1925 (aged 32),47,SK Rapid Wien
4,DF,Franz Swoboda,15 February 1933 (aged 25),13,Austria Wien
5,DF,Gerhard Hanappi (captain),9 July 1929 (aged 28),67,SK Rapid Wien
6,MF,Karl Koller,8 February 1929 (aged 29),38,First Vienna FC
7,FW,Walter Horak,1 June 1931 (aged 27),2,Wiener SC
8,FW,Paul Kozlicek,22 July 1937 (aged 20),5,Wacker Wien
9,FW,Hans Buzek,22 May 1938 (aged 20),10,First Vienna FC
10,FW,Alfred Körner,14 February 1926 (aged 32),,SK Rapid Wien
11,FW,Helmut Senekowitsch,22 October 1933 (aged 24),4,SK Sturm Graz
12,GK,Kurt Schmied,14 June 1926 (aged 31),23,First Vienna FC
13,FW,Walter Schleger,19 September 1929 (aged 28),17,Austria Wien
14,FW,Josef Hamerl,22 January 1931 (aged 27),2,Wiener SC
15,DF,Walter Kollmann,17 June 1932 (aged 25),14,Wacker Wien
16,MF,Karl Stotz,27 March 1927 (aged 31),19,Austria Wien
17,MF,Ernst Kozlicek,27 January 1931 (aged 27),7,Wacker Wien
18,DF,Leopold Barschandt,12 August 1925 (aged 32),20,Wiener SC
19,FW,Robert Dienst,1 March 1928 (aged 30),26,SK Rapid Wien
20,FW,Herbert Ninaus,31 March 1937 (aged 21),0,Grazer AK
21,MF,Ignaz Puschnik,5 February 1934 (aged 24),1,Kapfenberger SV
22,GK,Bruno Engelmeier,5 September 1927 (aged 30),7,1. Simmeringer SC
